Symbol,Date,Metric,Value
AAPL,2015-04-06,High,127.510002
AAPL,2015-04-07,High,128.119995
AAPL,2015-04-08,High,126.400002
AAPL,2015-04-09,High,126.580002
AAPL,2015-04-10,High,127.209999
AAPL,2015-04-13,High,128.570007
AAPL,2015-04-14,High,127.290001
AAPL,2015-04-15,High,127.129997
AAPL,2015-04-16,High,127.099998
AAPL,2015-04-17,High,126.139999
AAPL,2015-04-20,High,128.119995
AAPL,2015-04-21,High,128.199997
AAPL,2015-04-22,High,128.869995
AAPL,2015-04-23,High,130.419998
AAPL,2015-04-24,High,130.630005
AAPL,2015-04-27,High,133.130005
AAPL,2015-04-28,High,134.539993
AAPL,2015-04-29,High,131.589996
AAPL,2015-04-30,High,128.639999
AAPL,2015-05-01,High,130.130005
AAPL,2015-05-04,High,130.570007
AAPL,2015-05-05,High,128.449997
AAPL,2015-05-06,High,126.75
AAPL,2015-05-07,High,126.080002
AAPL,2015-05-08,High,127.620003
AAPL,2015-05-11,High,127.559998
AAPL,2015-05-12,High,126.879997
AAPL,2015-05-13,High,127.190002
AAPL,2015-05-14,High,128.949997
AAPL,2015-05-15,High,129.490005
AAPL,2015-05-18,High,130.720001
AAPL,2015-05-19,High,130.880005
AAPL,2015-05-20,High,130.979996
AAPL,2015-05-21,High,131.630005
AAPL,2015-05-22,High,132.970001
AAPL,2015-05-26,High,132.910004
AAPL,2015-05-27,High,132.259995
AAPL,2015-05-28,High,131.949997
AAPL,2015-05-29,High,131.449997
AAPL,2015-06-01,High,131.389999
AAPL,2015-06-02,High,130.660004
AAPL,2015-06-03,High,130.940002
AAPL,2015-06-04,High,130.580002
AAPL,2015-06-05,High,129.690002
AAPL,2015-06-08,High,129.210007
AAPL,2015-06-09,High,128.080002
AAPL,2015-06-10,High,129.339996
AAPL,2015-06-11,High,130.179993
AAPL,2015-06-12,High,128.330002
AAPL,2015-06-15,High,127.239998
AAPL,2015-06-16,High,127.849998
AAPL,2015-06-17,High,127.879997
AAPL,2015-06-18,High,128.309998
AAPL,2015-06-19,High,127.82
AAPL,2015-06-22,High,128.059998
AAPL,2015-06-23,High,127.610001
AAPL,2015-06-24,High,129.800003
AAPL,2015-06-25,High,129.199997
AAPL,2015-06-26,High,127.989998
AAPL,2015-06-29,High,126.470001
AAPL,2015-06-30,High,126.120003
AAPL,2015-07-01,High,126.940002
AAPL,2015-07-02,High,126.690002
AAPL,2015-07-06,High,126.230003
AAPL,2015-07-07,High,126.150002
AAPL,2015-07-08,High,124.639999
AAPL,2015-07-09,High,124.059998
AAPL,2015-07-10,High,123.849998
AAPL,2015-07-13,High,125.760002
AAPL,2015-07-14,High,126.370003
AAPL,2015-07-15,High,127.150002
AAPL,2015-07-16,High,128.570007
AAPL,2015-07-17,High,129.619995
AAPL,2015-07-20,High,132.970001
AAPL,2015-07-21,High,132.919998
AAPL,2015-07-22,High,125.5
AAPL,2015-07-23,High,127.089996
AAPL,2015-07-24,High,125.739998
AAPL,2015-07-27,High,123.610001
AAPL,2015-07-28,High,123.910004
AAPL,2015-07-29,High,123.5
AAPL,2015-07-30,High,122.57
AAPL,2015-07-31,High,122.639999
AAPL,2015-08-03,High,122.57
AAPL,2015-08-04,High,117.699997
AAPL,2015-08-05,High,117.440002
AAPL,2015-08-06,High,116.5
AAPL,2015-08-07,High,116.25
AAPL,2015-08-10,High,119.989998
AAPL,2015-08-11,High,118.18
AAPL,2015-08-12,High,115.419998
AAPL,2015-08-13,High,116.400002
AAPL,2015-08-14,High,116.309998
AAPL,2015-08-17,High,117.650002
AAPL,2015-08-18,High,117.440002
AAPL,2015-08-19,High,116.519997
AAPL,2015-08-20,High,114.349998
AAPL,2015-08-21,High,111.900002
AAPL,2015-08-24,High,108.800003
AAPL,2015-08-25,High,111.110001
AAPL,2015-08-26,High,109.889999
AAPL,2015-08-27,High,113.239998
AAPL,2015-08-28,High,113.309998
AAPL,2015-08-31,High,114.529999
AAPL,2015-09-01,High,111.879997
AAPL,2015-09-02,High,112.339996
AAPL,2015-09-03,High,112.779999
AAPL,2015-09-04,High,110.449997
AAPL,2015-09-08,High,112.559998
AAPL,2015-09-09,High,114.019997
AAPL,2015-09-10,High,113.279999
AAPL,2015-09-11,High,114.209999
AAPL,2015-09-14,High,116.889999
AAPL,2015-09-15,High,116.529999
AAPL,2015-09-16,High,116.540001
AAPL,2015-09-17,High,116.489998
AAPL,2015-09-18,High,114.300003
AAPL,2015-09-21,High,115.370003
AAPL,2015-09-22,High,114.18
AAPL,2015-09-23,High,114.720001
AAPL,2015-09-24,High,115.5
AAPL,2015-09-25,High,116.690002
AAPL,2015-09-28,High,114.57
AAPL,2015-09-29,High,113.510002
AAPL,2015-09-30,High,111.540001
AAPL,2015-10-01,High,109.620003
AAPL,2015-10-02,High,111.010002
AAPL,2015-10-05,High,111.370003
AAPL,2015-10-06,High,111.739998
AAPL,2015-10-07,High,111.769997
AAPL,2015-10-08,High,110.190002
AAPL,2015-10-09,High,112.279999
AAPL,2015-10-12,High,112.75
AAPL,2015-10-13,High,112.449997
AAPL,2015-10-14,High,111.519997
AAPL,2015-10-15,High,112.099998
AAPL,2015-10-16,High,112.0
AAPL,2015-10-19,High,111.75
AAPL,2015-10-20,High,114.169998
AAPL,2015-10-21,High,115.580002
AAPL,2015-10-22,High,115.5
AAPL,2015-10-23,High,119.230003
AAPL,2015-10-26,High,118.129997
AAPL,2015-10-27,High,116.540001
AAPL,2015-10-28,High,119.300003
AAPL,2015-10-29,High,120.690002
AAPL,2015-10-30,High,121.220001
AAPL,2015-11-02,High,121.360001
AAPL,2015-11-03,High,123.489998
AAPL,2015-11-04,High,123.82
AAPL,2015-11-05,High,122.690002
AAPL,2015-11-06,High,121.809998
AAPL,2015-11-09,High,121.809998
AAPL,2015-11-10,High,118.07
AAPL,2015-11-11,High,117.419998
AAPL,2015-11-12,High,116.82
AAPL,2015-11-13,High,115.57
AAPL,2015-11-16,High,114.239998
AAPL,2015-11-17,High,115.050003
AAPL,2015-11-18,High,117.489998
AAPL,2015-11-19,High,119.75
AAPL,2015-11-20,High,119.919998
AAPL,2015-11-23,High,119.730003
AAPL,2015-11-24,High,119.349998
AAPL,2015-11-25,High,119.230003
AAPL,2015-11-27,High,118.410004
AAPL,2015-11-30,High,119.410004
AAPL,2015-12-01,High,118.809998
AAPL,2015-12-02,High,118.110001
AAPL,2015-12-03,High,116.790001
AAPL,2015-12-04,High,119.25
AAPL,2015-12-07,High,119.860001
AAPL,2015-12-08,High,118.599998
AAPL,2015-12-09,High,117.690002
AAPL,2015-12-10,High,116.940002
AAPL,2015-12-11,High,115.389999
AAPL,2015-12-14,High,112.68
AAPL,2015-12-15,High,112.800003
AAPL,2015-12-16,High,111.989998
AAPL,2015-12-17,High,112.25
AAPL,2015-12-18,High,109.519997
AAPL,2015-12-21,High,107.370003
AAPL,2015-12-22,High,107.720001
AAPL,2015-12-23,High,108.849998
AAPL,2015-12-24,High,109.0
AAPL,2015-12-28,High,107.690002
AAPL,2015-12-29,High,109.43
AAPL,2015-12-30,High,108.699997
AAPL,2015-12-31,High,107.029999
AAPL,2016-01-04,High,105.370003
AAPL,2016-01-05,High,105.849998
AAPL,2016-01-06,High,102.370003
AAPL,2016-01-07,High,100.129997
AAPL,2016-01-08,High,99.110001
AAPL,2016-01-11,High,99.059998
AAPL,2016-01-12,High,100.690002
AAPL,2016-01-13,High,101.190002
AAPL,2016-01-14,High,100.480003
AAPL,2016-01-15,High,97.709999
AAPL,2016-01-19,High,98.650002
AAPL,2016-01-20,High,98.190002
AAPL,2016-01-21,High,97.879997
AAPL,2016-01-22,High,101.459999
AAPL,2016-01-25,High,101.529999
AAPL,2016-01-26,High,100.879997
AAPL,2016-01-27,High,96.629997
AAPL,2016-01-28,High,94.519997
AAPL,2016-01-29,High,97.339996
AAPL,2016-02-01,High,96.709999
AAPL,2016-02-02,High,96.040001
AAPL,2016-02-03,High,96.839996
AAPL,2016-02-04,High,97.330002
AAPL,2016-02-05,High,96.919998
AAPL,2016-02-08,High,95.699997
AAPL,2016-02-09,High,95.940002
AAPL,2016-02-10,High,96.349998
