Date,AAPL,AMZN,GOOG,IBM
2014-12-12,110.459999,303.98999,520.647217,160.25
2014-12-15,110.699997,308.869995,519.881409,155.929993
2014-12-16,106.370003,304.350006,508.762543,152.029999
2014-12-17,107.120003,296.369995,494.282166,151.520004
2014-12-18,111.870003,304.01001,510.144958,153.580002
2014-12-19,112.260002,296.910004,508.71283,157.490005
2014-12-22,112.160004,301.940002,513.257813,158.330002
2014-12-23,113.230003,306.980011,524.118103,162.229996
2014-12-24,112.580002,306.380005,527.608948,162.880005
2014-12-26,112.099998,305.0,525.878418,162.270004
2014-12-29,113.790001,307.850006,529.279724,162.0
2014-12-30,113.639999,309.910004,525.202148,160.020004
2014-12-31,112.82,311.549988,528.344849,160.410004
2015-01-02,111.389999,312.579987,526.114746,161.309998
2015-01-05,108.290001,307.01001,520.39624,161.270004
2015-01-06,106.540001,302.23999,512.181458,159.669998
2015-01-07,107.199997,297.5,504.22522,157.199997
2015-01-08,109.230003,300.320007,495.264526,156.240005
2015-01-09,112.669998,301.480011,501.997498,158.419998
2015-01-12,112.599998,297.559998,492.231232,159.0
2015-01-13,111.43,297.480011,496.109894,157.259995
2015-01-14,109.040001,291.929993,491.94281,154.860001
2015-01-15,110.0,294.0,502.80304,156.690002
2015-01-16,107.029999,286.279999,497.273468,153.820007
2015-01-20,107.839996,292.589996,508.203339,156.699997
2015-01-21,108.949997,289.640015,504.473846,153.029999
2015-01-22,110.260002,300.0,518.625977,151.940002
2015-01-23,112.300003,308.079987,532.658752,155.029999
2015-01-26,113.739998,311.820007,535.582642,158.259995
2015-01-27,112.419998,306.299988,527.069519,154.940002
2015-01-28,117.629997,309.809998,519.918884,154.0
2015-01-29,116.32,304.730011,508.203339,151.380005
2015-01-30,118.400002,346.320007,513.036743,153.910004
2015-02-02,118.050003,350.049988,528.819885,154.0
2015-02-03,118.5,360.290009,525.110291,154.75
2015-02-04,118.5,358.380005,526.343506,157.210007
2015-02-05,120.019997,366.0,520.92334,157.289993
2015-02-06,120.019997,374.869995,524.752258,157.339996
2015-02-09,118.550003,371.0,525.110291,156.0
2015-02-10,120.169998,371.190002,526.403198,156.740005
2015-02-11,122.769997,371.230011,532.370361,157.759995
2015-02-12,126.059998,375.100006,534.309692,158.720001
2015-02-13,127.279999,378.410004,540.376282,158.779999
2015-02-17,127.489998,377.720001,543.837219,159.75
2015-02-18,127.629997,373.779999,538.436951,161.860001
2015-02-19,128.479996,373.48999,535.097717,162.050003
2015-02-20,128.619995,378.619995,540.157471,163.639999
2015-02-23,130.020004,383.440002,533.116211,164.229996
2015-02-24,132.940002,378.649994,527.099365,162.490005
2015-02-25,131.559998,377.269989,532.967041,164.940002
2015-02-26,128.789993,384.070007,540.237061,163.740005
2015-02-27,130.0,384.0,551.206665,160.869995
